Book Name,Author,Rating,Description,Listening Time,Ranks and Genre,Number of Reviews,Price,Genre,Listening Time (mins),clean_description,cluster,pca_x,pca_y,reviews_norm,popularity_score
The Power Of Your Subconscious Mind,Joseph Murphy,4.5,"""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.",7 hours and 13 minutes,",#30 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in New Thought Spirituality,#11 in Personal Success,#52 in Mind, Body & Spirit",18381.0,99,New Thought Spirituality,433,power subconscious mind open success happiness prosperity peace brilliant beloved spiritual self help works help heal banish fears sleep better enjoy better relationships feel happier techniques simple results quickly improve relationships finances physical,21,-0.1629659528701442,-0.2284517942823034,0.2621183383009369,3.228635501490281
Can'T Hurt Me: Master Your Mind And Defy The Odds,David Goggins,4.8,"For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America. ",13 hours and 37 minutes,",#35 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Biographies & Memoirs (Audible Audiobooks & Originals),#13 in Personal Success,#44 in Biographies & Autobiographies (Books)",11336.0,836,Personal Success,817,david goggins childhood nightmare poverty prejudice physical abuse colored days haunted nights self discipline mental toughness hard work goggins transformed depressed overweight future armed forces icon top endurance athletes history complete elite training navy seal army ranger air force tactical air controller went set records numerous endurance events inspiring outside magazine name fittest real america,15,-0.1743319743450254,-0.2296147834588054,0.1616491493275909,3.408494744798277
"Harry Potter And The Philosopher'S Stone, Book 1",J.K. Rowling,4.7,"""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'."" ",9 hours and 33 minutes,",#29 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Family Life Fiction for Children,#1 in Fantasy & Magic for Children,#1 in Fiction on Friendship for Children",11978.0,999,Family Life Fiction for Children,573,turning envelope hand trembling harry saw purple wax seal bearing coat arms lion eagle badger snake surrounding large letter,11,-0.1708082216497391,-0.2211846249585389,0.17080475178619814,3.3412414255358596
Inglorious Empire: What The British Did To India,Shashi Tharoor,4.5,"Penguin presents the audiobook edition of Inglorious Empire, written and read by Shashi Tharoor. ",10 hours and 33 minutes,",#33 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Indian History (Audible Audiobooks & Originals),#1 in Imperialism,#1 in Colonialism & Post-Colonialism",304.0,752,Imperialism,633,presents inglorious empire shashi tharoor,3,-0.1723801863478596,-0.2249913001217,0.004321102094950157,3.151296330628485
Raavan: Enemy Of Aryavarta,Amish Tripathi,4.5,"Without the darkness, light has no purpose. ",11 hours and 32 minutes,",#39 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fiction Sagas,#2 in Epic Fantasy,#40 in Fantasy (Books)",4483.0,836,Fiction Sagas,692,without darkness light purpose,11,-0.1713829160944603,-0.2225897043880942,0.0639180844540152,3.1691754253362046
My Gita,Devdutt Pattanaik,4.2,"In My Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary reader. His unique approach - thematic rather than verse by verse - makes the ancient treatise eminently accessible. ",6 hours and 15 minutes,",#26 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Philosophy (Audible Audiobooks & Originals),#1 in Hinduism (Audible Audiobooks & Originals),#2 in Theology & Philosophy of Religion",1244.0,501,Theology & Philosophy of Religion,375,gita acclaimed mythologist devdutt pattanaik demystifies bhagavad gita contemporary unique approach thematic rather verse verse ancient treatise eminently accessible,15,-0.1716522815286367,-0.2232385687802174,0.017726501333409393,2.945317950400023
Zero To One,Peter Thiel,4.4,"What valuable company is nobody building? The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them. It's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar. ",4 hours and 50 minutes,",#25 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Business Management,#2 in Entrepreneurship (Audible Audiobooks & Originals),#2 in Organisational Behaviour",5331.0,615,Business Management,290,valuable company nobody building next bill gates build operating system next larry sergey brin won search engine copying guys aren learning easier copy model something already know takes adding something familiar,22,-0.1732391649337315,-0.2269772843277021,0.07601146589466778,3.1028034397684006
"Limitless: Upgrade Your Brain, Learn Anything Faster, And Unlock Your Exceptional Life",Jim Kwik,4.7,An instant New York Times best seller and number one Wall Street Journal best seller,12 hours and 57 minutes,",#36 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Memory Improvement,#4 in Psychology (Audible Audiobooks & Originals),#14 in Personal Success",2434.0,750,Memory Improvement,777,instant best seller wall street journal best seller,14,-0.1450843690051031,-0.2198407151079334,0.034697166326777995,3.3004091498980332
The Unusual Billionaires,Saurabh Mukherjea,4.4,What makes a company truly outstanding?,9 hours and 12 minutes,",#20 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Literary Essays,#2 in Biographies of Business Leaders,#8 in Essays (Books)",288.0,1005,Literary Essays,552,company truly outstanding,8,-0.1712750751837041,-0.2223017818440189,0.004092925086635957,3.0812278775259907
Chanakya Neeti,Acharya Chanakya,4.4,"Chanakya was an Indian teacher, philosopher, and royal advisor. He managed the first Maurya emperor Chandragupta’s rise to power at a young age. He is widely credited for having played an important role in the establishment of the Maurya Empire, which was the first empire in archaeologically recorded history to rule most of the Indian subcontinent.",5 hours and 2 minutes,",#28 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Biographies & Memoirs (Audible Audiobooks & Originals),#33 in Biographies & Autobiographies (Books)",92.0,668,Biographies & Autobiographies (Books),302,chanakya indian teacher philosopher royal advisor managed maurya emperor chandragupta rise power age widely credited played important role establishment maurya empire empire archaeologically recorded history rule indian subcontinent,20,-0.1733382203825153,-0.2272021231527036,0.001297756734787011,3.0803893270204363
